active,confirmed,country,deaths,id,last_update,latitude,longitude,recovered
0,164610,US,3170,18,2020-03-31 10:28:12,40.0,-100.0,5945
75528,101739,Italy,11591,11,2020-03-31 10:27:59,41.8719,12.5674,14620
66969,94417,Spain,8189,156,2020-03-31 10:27:59,40.463667,-3.74922,19259
2760,82272,China,3309,4,2020-03-31 09:10:05,30.5928,114.3055,76203
52901,67051,Germany,650,8,2020-03-31 10:27:59,51.1657,10.4515,13500
34177,45171,France,3030,7,2020-03-31 10:27:59,46.2276,2.2137,7964
27051,44605,Iran,2898,89,2020-03-31 10:27:59,32.427908,53.688046,14656
20882,22465,United Kingdom,1412,17,2020-03-31 10:27:59,55.0,-3.0,171
13740,15922,Switzerland,359,16,2020-03-31 10:27:59,46.8182,8.2275,1823
10372,12775,Belgium,705,33,2020-03-31 10:27:59,50.8333,4.469936,1698
10699,11817,Netherlands,865,12,2020-03-31 10:27:59,52.3167,5.55,253
10497,10827,Turkey,168,168,2020-03-31 10:27:59,38.9637,35.2433,162
8628,9851,Austria,128,2,2020-03-31 10:27:59,47.5162,14.5501,1095
4216,9786,"Korea, South",162,97,2020-03-31 10:27:59,35.907757,127.766922,5408
0,7448,Canada,89,3,2020-03-31 10:33:36,60.001,-95.001,1020
6225,6408,Portugal,140,139,2020-03-31 10:27:59,39.3999,-8.2245,43
4651,4831,Israel,17,91,2020-03-31 10:27:59,31.046051,34.851612,163
4369,4661,Brazil,165,40,2020-03-31 10:27:59,-14.235,-51.9253,127
4174,4550,Australia,18,1,2020-03-31 10:33:51,-25.0,133.0,358
4448,4494,Norway,34,13,2020-03-31 10:27:59,60.472,8.4689,12
3866,4028,Sweden,146,15,2020-03-31 10:27:59,60.1282,18.6435,16
2953,3002,Czechia,24,59,2020-03-31 10:27:59,49.8175,15.473,25
2840,2994,Denmark,77,5,2020-03-31 10:27:59,56.0,10.0,77
2851,2910,Ireland,54,10,2020-03-31 10:27:59,53.1424,-7.6921,5
2186,2766,Malaysia,43,111,2020-03-31 10:27:59,4.210484,101.975766,537
2285,2449,Chile,8,50,2020-03-31 10:27:59,-35.6751,-71.543,156
2199,2337,Russia,17,14,2020-03-31 10:27:59,61.524,105.3188,121
1956,2245,Romania,69,141,2020-03-31 10:27:59,45.9432,24.9668,220
2094,2132,Poland,31,138,2020-03-31 10:27:59,51.9194,19.1451,7
1947,2084,Philippines,88,137,2020-03-31 10:27:59,12.879721,121.774017,49
1886,1988,Luxembourg,22,108,2020-03-31 10:27:59,49.8153,6.1296,80
1850,1966,Ecuador,62,64,2020-03-31 10:27:59,-1.8312,-78.1834,54
1473,1953,Japan,56,93,2020-03-31 10:27:59,36.204824,138.252924,424
1764,1865,Pakistan,25,132,2020-03-31 10:27:59,30.3753,69.3451,76
1299,1651,Thailand,10,163,2020-03-31 10:27:59,15.870032,100.992541,342
1311,1528,Indonesia,136,88,2020-03-31 10:27:59,-0.7893,113.9213,81
1330,1453,Saudi Arabia,8,147,2020-03-31 10:27:59,23.885942,45.079162,115
1395,1418,Finland,13,6,2020-03-31 10:27:59,61.9241,25.7482,10
1292,1326,South Africa,3,155,2020-03-31 10:27:59,-30.5595,22.9375,31
1117,1251,India,32,87,2020-03-31 10:27:59,20.593684,78.96288,102
1114,1212,Greece,46,77,2020-03-31 10:27:59,39.0742,21.8243,52
1031,1094,Mexico,28,117,2020-03-31 10:27:59,23.6345,-102.5528,35
927,1086,Iceland,2,9,2020-03-31 10:27:59,64.9631,-19.0208,157
1039,1075,Panama,27,133,2020-03-31 10:27:59,8.538,-80.7821,9
714,966,Argentina,24,25,2020-03-31 10:27:59,-38.4161,-63.6167,228
873,950,Peru,24,136,2020-03-31 10:27:59,-9.19,-75.0152,53
855,901,Dominican Republic,42,63,2020-03-31 10:27:59,18.7357,-70.1627,4
648,879,Singapore,3,151,2020-03-31 10:27:59,1.2833,103.8333,228
777,802,Slovenia,15,153,2020-03-31 10:27:59,46.1512,14.9955,10
769,798,Colombia,14,51,2020-03-31 10:27:59,4.5709,-74.2973,15
717,790,Croatia,6,56,2020-03-31 10:27:59,45.1,15.2,67
769,785,Serbia,16,149,2020-03-31 10:27:59,44.0165,21.0059,0
715,745,Estonia,4,69,2020-03-31 10:27:59,58.5953,25.0136,26
99,712,Diamond Princess,10,60,2020-03-31 10:27:59,0.0,0.0,603
641,693,Qatar,1,140,2020-03-31 10:27:59,25.3548,51.1839,51
465,656,Egypt,41,65,2020-03-31 10:27:59,26.820553,30.802498,150
572,647,New Zealand,1,126,2020-03-31 10:27:59,-40.9006,174.886,74
432,630,Iraq,46,90,2020-03-31 10:27:59,33.223191,43.679291,152
545,611,United Arab Emirates,5,171,2020-03-31 10:27:59,23.424076,53.847818,61
512,584,Algeria,35,21,2020-03-31 10:27:59,28.0339,1.6596,37
526,574,Morocco,33,122,2020-03-31 10:27:59,31.7917,-7.0926,15
528,549,Ukraine,13,170,2020-03-31 10:27:59,48.3794,31.1656,8
519,533,Lithuania,7,107,2020-03-31 10:27:59,55.1694,23.8813,7
499,532,Armenia,3,26,2020-03-31 10:27:59,40.0691,45.0382,30
216,515,Bahrain,4,29,2020-03-31 10:27:59,26.0275,50.55,295
439,492,Hungary,16,86,2020-03-31 10:27:59,47.1625,19.5033,37
416,463,Lebanon,12,103,2020-03-31 10:27:59,33.8547,35.8623,35
384,411,Bosnia and Herzegovina,10,38,2020-03-31 10:27:59,43.9159,17.6791,17
397,398,Latvia,0,102,2020-03-31 10:27:59,56.8796,24.6032,1
354,379,Bulgaria,8,42,2020-03-31 10:27:59,42.7339,25.4858,17
352,370,Andorra,8,22,2020-03-31 10:27:59,42.5063,1.5218,10
356,363,Slovakia,0,152,2020-03-31 10:27:59,48.669,19.699,7
350,362,Tunisia,9,167,2020-03-31 10:27:59,33.886917,9.537499,3
312,336,Kazakhstan,2,95,2020-03-31 10:27:59,48.0196,66.9237,22
324,330,Costa Rica,2,54,2020-03-31 10:27:59,9.7489,-83.7534,4
278,322,Taiwan*,5,161,2020-03-31 07:26:59,23.7,121.0,39
